完成度     	筹集款         	项目时间    	项目名称                	项目地址                                    
5002%/已达	￥10003779/已筹	0天/剩余时间 	用料大牌不浮夸的双肩包         	http://z.jd.com/project/details/85994.html
501%/已达 	￥1002601/已筹 	0天/剩余时间 	咪西机器人咖啡             	http://z.jd.com/project/details/85974.html
411%/已达 	￥20551/已筹   	0天/剩余时间 	京东众筹三周年福袋           	http://z.jd.com/project/details/85862.html
1077%/已达	￥107704/已筹  	0天/剩余时间 	京东众筹三周年福袋           	http://z.jd.com/project/details/85651.html
1748%/已达	￥87421/已筹   	0天/剩余时间 	京东众筹三周年福袋           	http://z.jd.com/project/details/85611.html
380%/已达 	￥190000/已筹  	0天/剩余时间 	高颜值+黑科技户外功能跑鞋       	http://z.jd.com/project/details/85492.html
415%/已达 	￥20754/已筹   	0天/剩余时间 	京东众筹三周年福袋           	http://z.jd.com/project/details/85415.html
152%/已达 	￥152035/已筹  	0天/剩余时间 	美的智能变频大对开门冰箱        	http://z.jd.com/project/details/85413.html
102%/已达 	￥101993/已筹  	0天/剩余时间 	海鸥献礼 建军大业限量军表       	http://z.jd.com/project/details/85216.html
127%/已达 	￥63595/已筹   	0天/剩余时间 	平时也能穿的蝴蝶扣T恤         	http://z.jd.com/project/details/85170.html
133%/已达 	￥66593/已筹   	0天/剩余时间 	凉爽不贴身的冰丝V领T恤        	http://z.jd.com/project/details/85144.html
536%/已达 	￥268240/已筹  	0天/剩余时间 	ooh Dear李嫣公益项链      	http://z.jd.com/project/details/85064.html
120%/已达 	￥120143/已筹  	0天/剩余时间 	润唐家用全自动馒头面包机        	http://z.jd.com/project/details/84972.html
502%/已达 	￥502120/已筹  	0天/剩余时间 	多德士升级多功能仰卧板         	http://z.jd.com/project/details/84866.html
122%/已达 	￥24321/已筹   	0天/剩余时间 	花垣苹果桃-来自大山的美味       	http://z.jd.com/project/details/84851.html
127%/已达 	￥127226/已筹  	0天/剩余时间 	中国移动和云镜CM02         	http://z.jd.com/project/details/84831.html
338%/已达 	￥168765/已筹  	0天/剩余时间 	【逛窑记】故宫大师力作清宫廷珐琅... 	http://z.jd.com/project/details/84813.html
139%/已达 	￥41750/已筹   	0天/剩余时间 	【逛窑记】定窑重光南宋刻花绝技再... 	http://z.jd.com/project/details/84809.html
276%/已达 	￥138048/已筹  	0天/剩余时间 	【逛窑记】星空窑变建盏         	http://z.jd.com/project/details/84807.html
151%/已达 	￥45341/已筹   	0天/剩余时间 	【逛窑记】道法自然大师款哥弟窑五... 	http://z.jd.com/project/details/84805.html
157%/已达 	￥47045/已筹   	0天/剩余时间 	一片树叶的故事吉州窑木叶盏       	http://z.jd.com/project/details/84769.html
107%/已达 	￥53703/已筹   	0天/剩余时间 	【逛窑记】多功能紫砂套杯        	http://z.jd.com/project/details/84766.html
117%/已达 	￥58317/已筹   	0天/剩余时间 	【逛窑记】占亚雄童趣粉彩壶       	http://z.jd.com/project/details/84764.html
123%/已达 	￥61555/已筹   	0天/剩余时间 	【逛窑记】让日本臣服的汝瓷       	http://z.jd.com/project/details/84763.html
103%/已达 	￥82530/已筹   	0天/剩余时间 	清爽舒适 全新体感阿罗裤        	http://z.jd.com/project/details/84759.html
349%/已达 	￥174494/已筹  	0天/剩余时间 	 【逛窑记】詹桂溪·柴烧建盏      	http://z.jd.com/project/details/84758.html
226%/已达 	￥112889/已筹  	0天/剩余时间 	【逛窑记】喻明福的粉彩艺术       	http://z.jd.com/project/details/84756.html
125%/已达 	￥125162/已筹  	0天/剩余时间 	乐事游戏一体机G501         	http://z.jd.com/project/details/84741.html
157%/已达 	￥78692/已筹   	0天/剩余时间 	玉米纤维家居服             	http://z.jd.com/project/details/84728.html
246%/已达 	￥122870/已筹  	0天/剩余时间 	【逛窑记】国大师毛正聪之徒       	http://z.jd.com/project/details/84727.html
112%/已达 	￥55877/已筹   	0天/剩余时间 	【逛窑记】重现哥窑倾世之美       	http://z.jd.com/project/details/84723.html
110%/已达 	￥55040/已筹   	0天/剩余时间 	【逛窑记】乾隆御用扒花杯        	http://z.jd.com/project/details/84717.html
116%/已达 	￥115777/已筹  	0天/剩余时间 	风行互联网量子点电视          	http://z.jd.com/project/details/84690.html
238%/已达 	￥238260/已筹  	0天/剩余时间 	海盗H9光电轴机械键盘         	http://z.jd.com/project/details/84689.html
105%/已达 	￥104851/已筹  	0天/剩余时间 	健康猫运动生活馆武汉光谷馆       	http://z.jd.com/project/details/84673.html
167%/已达 	￥83267/已筹   	0天/剩余时间 	黑科技百搭T恤             	http://z.jd.com/project/details/84652.html
144%/已达 	￥14394/已筹   	0天/剩余时间 	云投A2 巨幕智能电视         	http://z.jd.com/project/details/84645.html
793%/已达 	￥396582/已筹  	0天/剩余时间 	【逛窑记】蔡炳盛·火凤凰        	http://z.jd.com/project/details/84625.html
131%/已达 	￥65435/已筹   	0天/剩余时间 	【逛窑记】传承青瓷大美至简       	http://z.jd.com/project/details/84623.html
873%/已达 	￥436686/已筹  	0天/剩余时间 	【逛窑记】龙泉大匠千年瓷魂       	http://z.jd.com/project/details/84621.html
112%/已达 	￥56172/已筹   	0天/剩余时间 	【逛窑记】景德镇•千年瓷路       	http://z.jd.com/project/details/84616.html
161%/已达 	￥80570/已筹   	0天/剩余时间 	益盾户外运动眼镜            	http://z.jd.com/project/details/84601.html
182%/已达 	￥91218/已筹   	0天/剩余时间 	脆甜多汁 连州潭岭水晶梨        	http://z.jd.com/project/details/84590.html
629%/已达 	￥628783/已筹  	0天/剩余时间 	趣看W1防蓝光变色眼镜         	http://z.jd.com/project/details/84574.html
1073%/已达	￥536480/已筹  	0天/剩余时间 	【逛窑记】汝瓷泰斗之朱文立       	http://z.jd.com/project/details/84573.html
146%/已达 	￥73216/已筹   	0天/剩余时间 	【逛窑记】钧窑万彩·玉钧杯       	http://z.jd.com/project/details/84558.html
101%/已达 	￥50267/已筹   	0天/剩余时间 	日式复古釉下彩餐具           	http://z.jd.com/project/details/84555.html
448%/已达 	￥223846/已筹  	0天/剩余时间 	魔铁 车载防身工兵铲          	http://z.jd.com/project/details/84542.html
223%/已达 	￥111283/已筹  	0天/剩余时间 	【逛窑记】巾帼女作·钧瓷杯       	http://z.jd.com/project/details/84539.html
103%/已达 	￥102692/已筹  	0天/剩余时间 	婴坊贝贝婴儿床品五件套         	http://z.jd.com/project/details/84533.html
